UV_HWP,QP,PCC,Basis,C4 average,C4 average uncertainty
36_0,25_0,46_0,LA,1033.16,5.661472128931368
36_0,25_0,46_0,RA,446.72,3.6731094910624886
36_0,25_0,46_0,VA,681.84,4.7646895666629385
36_0,25_0,46_0,DA,106.08,2.0362711017936683
36_0,25_0,46_0,HA,799.64,5.573114030773102
36_0,25_0,46_0,AA,1377.08,8.425144904787494
36_0,25_0,46_0,AD,95.88,1.8728943732451475
36_0,25_0,46_0,DD,1404.0,6.894200461257273
36_0,25_0,46_0,HD,751.88,4.827117842633082
36_0,25_0,46_0,VD,763.92,5.977992974234747
36_0,25_0,46_0,RD,1001.36,7.33550270942626
36_0,25_0,46_0,LD,463.6,3.803945320322047
36_0,25_0,46_0,LH,727.16,5.4710389019515
36_0,25_0,46_0,RH,677.4,6.005552985917838
36_0,25_0,46_0,VH,14.12,0.8856635930193812
36_0,25_0,46_0,DH,811.64,6.0632444560097785
36_0,25_0,46_0,HH,1518.36,7.330957190799394
36_0,25_0,46_0,AH,713.44,5.489711589267084
36_0,25_0,46_0,AV,755.36,5.0328520741225855
36_0,25_0,46_0,DV,701.08,5.169435817056506
36_0,25_0,46_0,HV,15.08,0.6296030495478878
36_0,25_0,46_0,VV,1441.36,6.210174447361898
36_0,25_0,46_0,LV,777.88,5.0127570590777015
36_0,25_0,46_0,RV,769.6,5.743111816196281
36_0,25_0,46_0,LL,106.84,2.637979024430129
36_0,25_0,46_0,RL,1359.72,7.595068575507836
36_0,25_0,46_0,HL,803.72,6.041666436781607
36_0,25_0,46_0,VL,669.16,5.388159859048974
36_0,25_0,46_0,DL,433.72,3.3138698425456203
36_0,25_0,46_0,AL,1036.2,5.785326265648293
36_0,25_0,46_0,AR,443.32,4.989562439065507
36_0,25_0,46_0,DR,1054.92,6.317415083191329
36_0,25_0,46_0,HR,736.0,5.761365578865251
36_0,25_0,46_0,RR,102.16,2.617046681534996
36_0,25_0,46_0,VR,731.52,4.905479928950208
36_0,25_0,46_0,LR,1358.6,6.5337584895678535
